Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11Y1IGMIThaxu4ijcXRNYs,"Nem de Graça","Nem de Graça","Pixote",2018-06-12,172202,64,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:17:36Z,"pagode,samba","GR Shows",0.706,0.811,7,-5.26,0,0.049,0.336,0,0.241,0.928,163.943,4
spotify:track:34oWbFBfGEElvgO0a5c9V4,"No Flockin'","No Flockin'","Kodak Black",2015-11-13,165290,80,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:17:51Z,"","P2015",0.943,0.595,5,-8.372,0,0.191,0.0673,0,0.0839,0.815,117.532,4
spotify:track:0v9Wz8o0BT8DU38R4ddjeH,"No Problem (feat. Lil Wayne & 2 Chainz)","Coloring Book","Chance the Rapper;Lil Wayne;2 Chainz",2016-05-27,304606,67,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:18:01Z,"rap,hip hop,southern hip hop","Chance the Rapper",0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,4
spotify:track:4hEl2wrneFEJbJ6SDYWd2f,"Not Afraid","Recovery","Eminem",2010-06-18,248133,9,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:18:07Z,"rap,hip hop","Universal Music Group",0.854,0.954,0,-1.185,0,0.246,0.543,0,0.201,0.67,114.609,5
spotify:track:1fw2Vhs8D8sOYAswEEMi9N,"Nothing To Lose (feat. Terrence Howard & Jussie Smollett)","Empire: The Complete Season 1","Empire Cast;Terrence Howard;Jussie Smollett",2015-09-11,180746,38,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:18:14Z,"","Columbia",0.523,0.437,0,-6.849,0,0.079,0.781,0,0.294,0.555,112.536,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,90,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:18:26Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:3jEPu6FD1icy9cLllhB2XK,"Omen - Radio Edit","Omen (Radio Edit)","Disclosure;Sam Smith",2015-07-27,196817,4,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:18:41Z,"house,o lado suave do pop","Universal Music Group",0.646,0.787,5,-4.817,0,0.174,0.103,0,0.373,0.675,106.071,4
spotify:track:4nz8f1Mm874xwNCYJp8myJ,"On Point","On Point","KSI",2018-08-17,250434,0,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:19:16Z,"","KSIOlajidebt LTD",0.763,0.708,11,-7.253,1,0.26,0.472,0,0.114,0.308,138,4
spotify:track:6jXYvpTessgV9SaesRRDj8,"O Que Que Tem?","O Que Que Tem?","Maquiny;Azevedo;Orochi",2017-07-29,258000,42,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:19:26Z,"hip hop brasileiro,trap brasileiro,trap funk,trap","ModestiaParte",0.501,0.688,6,-4.71,0,0.165,0.00347,0,0.112,0.338,119.863,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris;Ellie Goulding",2014-10-31,227266,89,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:19:33Z,"edm","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:6YUTL4dYpB9xZO5qExPf05,"Summer","Motion","Calvin Harris",2014-10-31,222533,88,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:19:53Z,"edm","Columbia",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
