Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ONo9DE43QFlF4PtQIZa4R,"MOVIBE","DIAS ANTES DO CAOS","Alee;NADAMAL;saboya;Dexter",2024-02-29,145799,51,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-04T22:08:54Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","NadamalRecords",0.606,0.701,1,-5.399,0,0.13,0.0883,0,0.117,0.577,118.871,4
spotify:track:5VUm4996CtfeQT1WpFLkZ4,"MEU MUNDO","DIAS ANTES DO CAOS","Alee;NADAMAL;peppnx",2024-02-29,174051,60,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-05T11:28:46Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","NadamalRecords",0.446,0.559,3,-6.696,0,0.0718,0.385,0,0.0905,0.427,122.253,4
spotify:track:0jNhLOtqo2ZaVv3JqbUg11,"Jeito Bandido","Dos Prédios","Veigh;Toledo;Nagalli;Supernova Ent;Kyan",2022-11-18,146938,64,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-06T22:33:03Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment",0.8,0.49,1,-10.097,1,0.293,0.13,0.00000319,0.117,0.0369,147.07,4
spotify:track:1dvsQNXbv4lASlskEaokDt,"Nos Tempos De Motorola","O Bagulho É Trap II","Jé",2023-12-08,122142,41,false,8jtopaclkzi6fkcxvnzy3t27q,2024-03-06T22:37:52Z,"trap brasileiro,trap,hip hop brasileiro","Universal Music Ltda.",0.749,0.567,2,-8.429,1,0.073,0.0668,0,0.369,0.131,140.069,4
spotify:track:6mjPyAOWGipiRAo8uAmz0P,"I TOLD YOU","EL DEREK","Derek;Darez",2021-01-29,146825,38,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-06T22:42:12Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","Derek Luccas",0.965,0.466,1,-8.915,1,0.187,0.0494,0.0000654,0.102,0.481,118.021,4
spotify:track:5x8NgG7Ya18m9wafOvvWYk,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)","I Know NIGO!","A$AP Rocky;Tyler, The Creator;Nigo",2022-03-25,174862,24,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-18T16:28:01Z,"rap","Victor Victor Worldwide",0.458,0.697,1,-5.02,1,0.325,0.0185,0,0.784,0.495,172.584,4
spotify:track:7sTyAjxDXq9afwfSQy6D0s,"BANDIT","Bandit","Don Toliver",2024-02-01,147746,67,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-21T22:24:02Z,"","Cactus Jack / Atlantic",0.686,0.733,2,-5.268,1,0.0576,0.00567,0,0.246,0.141,130.095,4
spotify:track:1pnDvUuAEd6z8bKEsbAjk1,"We Don't Trust You","WE DON'T TRUST YOU","Future;Metro Boomin",2024-03-22,226213,68,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-24T23:07:19Z,"rap","Wilburn Holding Co./Boominati/Epic/Republic",0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,4
spotify:track:3OxL6MuctgZp1e0zxoAZhH,"Young Metro","WE DON'T TRUST YOU","Future;Metro Boomin;The Weeknd",2024-03-22,205346,70,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-24T23:12:53Z,"rap","Wilburn Holding Co./Boominati/Epic/Republic",0.716,0.664,6,-7.297,0,0.0571,0.11,0,0.11,0.209,112.054,4
spotify:track:54XqJ3fP3GxmUejMsKwCaK,"One Of The Girls","One of the Girls","The Weeknd;JENNIE;Lily-Rose Depp",2023-12-08,244684,61,false,8jtopaclkzi6fkcxvnzy3t27q,2024-03-25T00:03:53Z,"k-pop","XO / Republic Records",0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
